code,name,latitude,longitude,use,closed
SCIA,Isla Apiao,-42.604722,-73.209444,PUB,0
SCIB,Butachauques,-42.308889,-73.141944,PUB,0
SCIC,General Freire,-34.966702,-71.216400,PUB,0
SCID,Marco Davison Bascur,-52.880000,-70.749167,PVT,0
SCIE,Carriel Sur (ALTN INTL),-36.771389,-73.062500,PUB,0
SCIF,Chollinco,-40.205799,-72.231400,PVT,0
SCIH,Caleta Andrade,-45.148889,-73.513333,PUB,0
SCII,Puerto Ingeniero Ibañez,-46.293889,-71.949700,PUB,0
SCIK,Isla Talcán,-42.743900,-72.966698,PVT,0
SCIL,Aucó,-31.569700,-71.109200,PVT,0
SCIM,Isla Mocha,-38.384889,-73.868567,PUB,0
SCIN,Mininco,-37.848069,-72.462914,PVT,0
SCIO,Laguna Redonda,-48.928611,-72.793333,PUB,0
SCIP,Mataveri,-27.164700,-109.421997,PUB,0
SCIQ,Santa Cecilia,-36.274333,-71.897333,PVT,0
SCIR,Robinson Crusoe,-33.665833,-78.929167,PUB,0
SCIS,Puerto Sur,-37.028599,-73.508102,PUB,0
SCJK,Juan Kemp,-40.884444,-72.368889,PVT,0
SCJO,Cañal Bajo - Carlos Hott Siebert,-40.611389,-73.060556,PUB,0
SCJS,José Abel Sepúlveda,-36.234167,-72.059444,PVT,0
SCKA,Santa Marta,-36.493056,-71.896944,PVT,0
SCKB,Llollenorte,-39.057499,-71.689697,PVT,0
SCKC,Roberto Chavez,-38.906944,-72.215278,PVT,0
SCKD,El Cardal,-40.467778,-72.685000,PVT,0
SCKE,Piedra Negra,-35.854444,-72.645833,PUB,0
SCKI,Los Lirios,-34.906944,-71.202778,PVT,0
SCKL,Lipangui,-33.336700,-70.851097,PVT,0
SCKM,Cochamó,-41.482778,-72.307500,PUB,0
SCKN,Pirihueico,-40.027222,-71.720833,PVT,0
SCKO,Agua Buena,-37.993900,-72.249199,PVT,0
SCKP,Coposa,-20.751667,-68.682222,PVT,0
SCKQ,Curimanque,-39.326944,-72.027222,PVT,0
SCLB,Los Pehuenches,-37.657222,-73.628333,PUB,0
SCLC,Municipal de Vitacura,-33.380722,-70.582250,PUB,0
SCLD,Llanada Grande,-41.871317,-71.937739,PUB,0
SCLE,La Escondida,-24.291111,-69.129722,,0
SCLF,Calcurrupe,-40.244202,-72.236900,PVT,0
SCLI,Torca,-34.783298,-72.050797,PVT,0
SCLJ,La Junta,-43.977500,-72.413101,PUB,0
SCLK,Lago Colico,-39.057499,-72.074203,PVT,0
SCLL,Vallenar,-28.595278,-70.757500,PUB,0
SCLN,Municipal de Linares,-35.860922,-71.547722,PUB,0
SCLO,Leones,-46.765598,-72.818298,PVT,0
SCLQ,Diego Portales,-32.448889,-71.258611,PUB,0
SCLS,Esperanza,-38.548901,-72.145798,PVT,0
SCLT,Topocalma,-34.112268,-71.938056,PVT,0
SCLU,La Laguna,-34.352501,-71.663902,PVT,0
SCLV,La Viña,-32.138100,-71.395833,PVT,0
SCLY,La Playa,-37.216389,-73.233056,PVT,0
SCMA,Puerto Marín Balmaceda,-43.787500,-72.951111,PUB,0
SCMC,Icalma,-38.733194,-71.217722,PVT,0
SCME,Los Cuatro Diablos,-33.677222,-71.110278,PVT,0
SCMF,Malloco,-39.255833,-72.343889,PVT,0
SCMG,Santa María de Mingre,-35.570556,-72.003889,PVT,0
SCMH,La Esperanza,-34.288628,-71.550936,PVT,0
SCMI,AD Predio MIL Santa Maria,-52.524722,-70.059722,MIL,0
SCMK,Melinka,-43.895000,-73.738899,PUB,0
SCML,Melipeuco,-38.856098,-71.812500,PVT,0
SCMN,Mónaco,-34.263611,-71.967500,PVT,0
SCMO,Los Monos,-35.190278,-71.418611,PVT,0
SCMP,Melipilla,-33.676336,-71.192667,PVT,0
SCMR,Las Aguilas Oriente,-34.153333,-71.514722,MIL,0
SCMS,Las Moras,-36.010300,-71.594398,PVT,0
SCMU,Panilonco,-34.285278,-71.949167,PVT,0
SCMZ,Marina de Rapel,-34.155278,-71.455833,PVT,0
SCNE,María Elena,-22.307199,-69.705002,PVT,0
SCNH,Ainhoa,-38.683333,-72.243889,PVT,0
SCNI,Santa Eugenia,-36.434444,-72.156944,PVT,0
SCNK,Los Pelambres,-31.873100,-70.618301,PVT,0
SCNL,Villa Cerro Castillo,-46.130000,-72.146389,PUB,0
SCNM,Las Misiones,-37.775139,-73.383200,PUB,0
SCNO,Ñochaco,-40.892778,-72.880000,PVT,0
SCNP,Nueva Pintacura,-31.707500,-71.247222,,0
